Sample	Streptococcus_mutans	Porphyromonas_gingivalis	Pseudomonas	Prevotella_maculosa	Staphylococcus_aureus	Vibrio	Fusobacterium	Proteus	Stenotrophomonas	Haemophilus	Escherichia	Brucella	Weissella	Propionibacterium	Eikenella	Staphylococcus_epidermidis	Clostridium	Streptococcus_anginosus	Methylotenera	Corynebacterium_tuberculostearicum	Bifidobacterium	Campylobacter	Achromobacter	Neisseria	Lactobacillus_johnsonii	Enterobacter	Chryseobacterium	Peptoniphilus	Dolosigranulum	Klebsiella_oxytoca	Acinetobacter	Veillonella	Comamonas	Variovorax	Diaphorobacter	Finegoldia	Corynebacterium	Moraxella	Prevotella_bivia	Corynebacterium_glutamicum	Prevotella_buccalis	Klebsiella_pneumoniae	Streptococcus_pyogenes	Porphyromonas	Lactobacillus_sakei	Peptostreptococcus	Streptococcus_pneumoniae	Dialister	Streptococcus_constellatus	Staphylococcus	Mycoplasma
Tongue_P16	510	7	5	9	7	1	6	32	44	5	14	0	11	8	5	23	19	10	8	5	7	22	10	5	2	1	22	22	7	7	8	6	4	5	0	1	0	0	10	15	21	15	11	12	16	13	6	41	0	0	0
Throat_P17	4387	711	1128	2944	11	488	0	0	35	26	64	41	0	29	1	99	6	0	0	40	47	0	0	15	1	13	0	0	0	1	0	29	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Tongue_P17	11671	446	5557	5	85	1280	18	0	69	43	114	14	0	196	4	173	73	73	0	121	46	0	0	8	800	10	0	0	0	8	2	5	22	0	65	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Throat_P18	3387	879	1245	10522	23767	1046	39	0	174	64	2944	19	2	279	0	251	998	296	89	264	96	0	9	16	2	26	3	0	64	7	36	6	0	0	0	22	0	27	3	0	1	0	0	1	0	1	0	0	0	0	0
Tongue_P18	57	503	3654	1	249	639	39	1	65	63	48	118	0	286	0	310	30	76	183	94	46	21	13	31	0	1	0	0	87	28	10	21	22	0	0	0	0	2	4	0	1	0	0	1	0	0	0	0	0	0	0
Throat_P19	30	0	68	0	0	41	0	0	0	0	8	2	0	25	0	78	0	0	23	0	0	0	0	0	8	6	0	0	0	9	31	6	29	0	0	0	0	10	0	12	36	0	25	13	5	0	38	0	0	0	0
Tongue_P19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Throat_P20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tongue_P20	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Throat_P21	295	330	2317	0	157	1083	2	0	163	34	656	18	0	643	7	2215	138	32	23	0	35	5	13	10	0	7	0	50	0	17	12	12	7	0	0	49	26	14	5	0	2	0	45	1	0	0	0	1	0	0	0
Tongue_P21	73	279	3345	5	4	506	13	1	120	12381	47	15	0	100	0	9	1	0	0	55	0	1	0	20	0	21	0	7	106	9	0	2	19	0	10	4	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0
Throat_P22	2783	2009	4226	20	118	1763	59	9	367	128	6720	105	0	296	1	223	3126	680	331	251	124	0	22	15	145	84	48	98	0	39	1	89	9	12	11	21	0	2	2	0	1	0	0	0	0	0	0	6	0	0	0
Tongue_P22	64	269	4524	6	101	1136	19	1	93	2	149	11	0	361	0	89	12	18	1	0	55	0	0	39	6	26	1	115	0	44	16	1	0	0	0	10	29	0	6	0	7	7	0	1	9	0	0	0	0	0	0
Throat_P28	175	480	354	26312	7349	1658	2	3	167	0	189	4	0	118	0	38	5	1	0	44	69	0	16	1	9	9	0	123	0	41	0	2	0	0	0	2	0	0	6	0	0	0	0	1	0	1	0	0	0	0	0
Tongue_P28	100	212	2254	1	51	751	1	0	45	58	122	46	1	221	10	93	29	6	0	157	110	0	48	4	3	17	0	22	10	9	3	7	6	0	0	9	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0
Throat_P30	2	2	0	0	0	6	2	0	9	0	0	7	10	0	0	2	0	3	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0	6	2	2	1	0	0	3	10	3	0	0	0	0	0
Tongue_P30	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Throat_P31	82207	292	3	0	6	174	5	0	21	7	62	2	0	13	0	29	15	18	0	12	10	0	1	3	3	6	0	0	0	8	1	2	8	0	0	0	0	0	6	1	1	0	0	2	0	1	0	0	0	0	0
Tongue_P31	1060	266	1	0	52	1997	7	0	231	29	260	35	0	3578	0	319	62	23	1	61	12	0	0	16	45	40	0	20	0	9	8	47	14	7	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0
Throat_P33	106	2169	2792	56444	1061	1282	19	0	201	11	822	76	0	378	10522	158	34	118	5	32	45	16	2	88	26	68	0	42	0	37	12	0	21	0	11	28	1	0	3	0	31	6	0	1	0	0	8	0	0	0	0
Tongue_P33	135	1820	5706	2	80	2648	100	0	271	118	597	46	0	395	0	177	88	36	12	150	66	0	25	32	7	74	0	12	553	41	7	48	0	4	0	0	0	53	1	16	4	0	0	0	0	1	0	0	0	0	0
